DOC_CONTABLE_;TEXTO_BREVE;SALDO_INICIAL;MOVIMIENTOS_CREDITO;SALDO_ACUMULADO;;
1680201510;CAJA;9235598,54;106896457,9;6494652,97;;
168025;CAJA;36024804551;4,38E+11;29594497417;;
1680250301;CAJA;109949537;2076470131;172030492;;
1680251502;CAJA;35720747977;3,41E+11;29191017194;;
1680252002;CAJA;194107037,3;94582161037;231449731,3;;
168095;CAJA;-34828345449;277391944,1;-200128305;;
1680951005;CAJA;-11424081021;81136159,42;-71183599,41;;
1680951020;CAJA;-23271055853;153509411,8;-126852684,9;;
1680951035;CAJA;-139277;2860198,98;-2023575;;
1680951050;CAJA;-133069291,8;39886173;-68439,83;;
1680952005;CAJA;-2,73;0,97;-2,73;;
1680952509;CAJA;-3,15;0;-3,15;;
1682;CAJA;0;1437684;0;;
168200;CAJA;0;1437684;0;;
1682000001;CAJA;0;1437684;0;;
1683;CAJA;3262003847;6737537336;960283767,8;;
2300008347;CAJA;13217139,6;0;13217139,6;;
2300009206;CAJA;13217139,6;0;13217139,6;;
2300009207;CAJA;3248786708;6737537336;947066628,2;;
1900000114;CAJA;3248786708;6737537336;947066628,2;;
2300001444;CAJA;31486863069;3,29E+11;38303449053;;
9100014751;CAJA;30500712511;3,23E+11;32687413457;;
2300003576;CXCS: DIRECTAS $$;17996895885;2,58E+11;29443054324;;
2300003577;CXCS: DIRECTAS US$;92839711;1954637811;35696700;;
1900000115;CXCS: DIRECTAS-IVA $;1344083550;5754750700;1946759759;;
2300001449;CXCS: DIRECTAS-IVA U;4027418;93293790;1424160;;
9100014752;CXCS: DIRECTAS-GASTO;39481461;0;39481461;;
2300003578;CXCS: CEDIDAS $$;4767428,8;8973963;4509720,8;;
2300003579;CXCS: CEDIDAS US$;-3722362;0;-3722362;;
1900000116;CXCS: RECARGO $$;8551164;13582319;4083673;;
2300001450;CXCS: RECARGO US$;1029239;6890806;1059249;;
9100014753;CXCS: FRACCIONAMIENT;11012759016;57378601176;1215066772;;
2300000524;COASEGURO ACEPTADO;985240322;6496374511;5615234155;;
2300000528;CXCS: COASEGURO ACEP;985240322;6496374511;5615234155;;
2300000627;COASEGURO CEDIDO;910236;1089790;801441;;
2300000661;CXCS: COASEGURO CEDI;910236;1089790;801441;;
2300000662;SISTEMA GENERAL DE RIESGOS LABORALES;966020336;1177862950;1030227462;;
2300001194;EMPLEADORES;964118766;1131817646;1028228659;;
2300001195;CXCS: PRIMAS PENDIEN;964118766;1131817646;1028228659;;
2300001196;OTRAS;1901570;46045304;1998803;;
2300001204;CXCS: INTERESES MORA;1901570;46045304;1998803;;
2300001241;DIVERSAS;852571009,6;7094101238;916726951,6;;
2300001242;OTRAS;852571009,6;7094101238;916726951,6;;
2300001243;CXCO: OTROS DEUDORES;516559365,6;6954160178;584510626,6;;
2300002320;CXCO: EPS NOMINA;132262711;139941060;128467392;;
2300002414;CXC SALVAMEN Y RECOB;203748933;0;203748933;;
2300002415;DETERIORO CUENTAS POR COBRAR ACTIVIDAD ASEGURADORA;-73871218818;27721714791;-74101930476;;
2300002416;PRIMAS POR RECAUDAR;-1646836543;27442416033;-1869760663;;
2300002416;DETC: INTERMEDIARIOS;-10019551;0;-10019551;;
2300002417;DETC: DIRECTAS $$$;-1629680419;27398700428;-1845894374;;
1900000852;DETC: DIRECTAS US$;3006642;24138558;-157918;;
9100245122;DETC: ACEPTADAS $$$;-10479717,64;19199198;-13913184,64;;
2300012279;DETC: CEDIDAS $$$;336502,25;377849;224365,25;;
1900000853;COASEGURADORES;-1674728847;93983;-1674728847;;
9100245123;DETC: COASEGURADORES;-1668683272;93983;-1668683272;;
2300012280;DETC: COASEGURADORES;-6045575;0;-6045575;;
2300012280;REASEGURADORES;-69601146606;0;-69601146606;;
1900000854;DETC: COMPANIAS CEDE;-69601146606;0;-69601146606;;
9100245124;SISTEMA DE RIESGOS LABORALES;-948506821;279204775;-956294360;;
2300012281;DETC: DIRECTAS $$$;-948506821;279204775;-956294360;;
1900000855;DETERIORO (PROVISIONES) OTRAS CUENTAS POR COBRAR;-203748932,4;80000000;-283748932,4;;
9100245125;OTRAS;-203748932,4;80000000;-283748932,4;;
2300012282;DETC: CUENTAS POR CO;0,58;0;0,58;;
1900000856;DETC: PROV-SALVAMENT;-203748933;0;-203748933;;
9100245126;DETC: PROVISION BANC;0;80000000;-80000000;;
2300012283;ACTIVOS MATERIALES;7053924363;2551052933;4968209031;;
1900000857;PROPIEDAD, PLANTA Y EQUIPO;565438724;143524141,9;456186057,4;;
9100245127;VEHÍCULOS;313937316;0;313937316;;
2300012284;ACTF: VEHICULOS;313937316;0;313937316;;
180122;EQUIPO DE OFICINA;4368663969;3559225,74;4397405527;;
1801220001;ACTF: EQUIPO MUEBLES;4368663969;3559225,74;4397405527;;
180124;EQUIPO INFORMÁTICO;2721623873;0;2721623873;;
1801240001;ACTF: EQUIPO DE COMP;2721623873;0;2721623873;;
180162;DEPRECIACIÓN Y AGOTAMIENTO PROPIEDAD, PLANTA Y EQU;-6838786434;139964916,2;-6976780658;;
1801620002;ACTF: DEPR EQ MUEBLE;-3828007592;120524985,6;-3946561886;;
1801620003;ACTF: DEPR EQ COMPUT;-2696841526;19439930,63;-2716281456;;
1801620004;ACTF: DEPR VEHICULOS;-313937316;0,02;-313937316;;
1802;PROPIEDAD, PLANTA Y EQUIPO POR DERECHOS DE USO;6488485638;2407528791;4512022973;;
180200;PROPIEDAD, PLANTA Y EQUIPO POR DERECHOS DE USO;6488485638;2407528791;4512022973;;
1802009901;ACTF: D.USO INMUEBLE;13940089641;0;13940089641;;
1802009902;ACTF: DEPR D.USO INM;-7588538248;2150812639;-9345023870;;
1802009903;ACTF: D.USO VEHICULO;873478344,1;0;873478344,1;;
1802009904;ACTF: DEPR D.USO VEH;-775030242,2;256716151,6;-995007284,8;;
1802009905;ACTF: D.USO E COMPUT;371790230,2;0;371790230,2;;
1802009906;ACTF: DPR D.USO ECOM;-333304086,7;0;-333304086,7;;
19;OTROS ACTIVOS;57566213,97;2716784107;44196633,45;;
1911;ACTIVOS INTANGIBLES;0;0;0;;
191135;PROGRAMAS Y APLICACIONES INFORMÁTICAS;0;0;0;;
1911350001;OACT: LIC SOFTWARE;-1672648497;0;-1672648497;;
1911350005;OACT: LIC SOFTWARE;1672648497;0;1672648497;;
1925;GASTOS PAGADOS POR ANTICIPADO;57566213,97;2636784107;44196633,45;;
192505;SEGUROS;0,01;0;0,01;;
1925059901;OACT: SEGUROS;0,01;0;0,01;;
192510;COSTOS DE CONTRATOS NO PROPORCIONALES;0;1256114660;22;;
1925100001;OACT: COSTOS CONTRAT;0;1256114660;22;;
192595;OTROS;57566213,96;1380669447;44196611,44;;
1925950001;OTROS CARGOS DIFERID;4530285;4530285;0;;
1925950003;OACT: ARRENDAMIENTOS;53035929,07;8839317,48;44196611,59;;
1925950009;OACT: CONTRIBUCIONES;0,01;812557638;0,02;;
1925950017;OACT: PLAN BECA;-0,13;6132000,04;-0,17;;
1925950027;OACT: OTROS DIFERIDO;0,01;548610206,4;0;;
1995;;0;80000000;0;;
199500;;0;80000000;0;;
1995000001;;0;80000000;0;;
2;PASIVO;-3,59E+12;1,46E+13;-3,87E+12;;
21;INSTRUMENTOS FINANCIEROS A COSTO AMORTIZADO;-8197016050;465542328,8;-6059119515;;
2180;PASIVOS POR ARRENDAMIENTOS;-8197016050;465542328,8;-6059119515;;
218000;PASIVOS POR ARRENDAMIENTOS;-8197016050;465542328,8;-6059119515;;
2180000001;PASB: ARRNDTO NIIF16;-8197016050;465542328,8;-6059119515;;
22;INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE;0;4,05E+11;0;;
2225;CONTRATOS FORWARD - DE COBERTURA;0;4,05E+11;0;;
